,codimap_category,codimap_title,codimap_date,views,comment_numbers,codimap_explain,codimap_hashtag,codimap_imgurl
35,아메리칸 캐주얼,실패 없는 코디,21.06.11,"8,272",6,오버 핏 티셔츠와 벌룬 팬츠를 코디하고 샌들로 완성한 아메리칸 캐주얼 룩,"#미니멀,#아메카지,#뉴트럴톤,#벌룬핏,#여름,#아메리칸 캐주얼,#로우로우,#한글안경,#유니폼브릿지,#커버낫,#미니멀프로젝트,#메신저/크로스 백,#기타 컬처,#안경,#코튼 팬츠,#샌들,#반소매 티셔츠",https://image.msscdn.net/images/codimap/detail/3670/detail_3670_1_500.jpg?202307132307
36,캐주얼,피크닉 가자!,21.08.20,"2,696",6,그래픽이 돋보이는 스웨트셔츠와 숏 팬츠를 스타일링한 후 스니커즈로 마무리한 캐주얼 룩,"#피크닉,#그래픽,#뉴트럴톤,#여름,#캐주얼,#그루브라임,#유니폼브릿지,#뉴발란스,#피지컬 에듀케이션 디파트먼트,#숏 팬츠,#선글라스,#액자/포스터,#버킷/사파리햇,#맨투맨/스웨트셔츠",https://image.msscdn.net/images/codimap/detail/5796/detail_5796_1_500.jpg?202307132307
37,댄디,데이트하는 날,21.09.07,"16,910",6,아가일 패턴이 돋보이는 카디건과 슬랙스를 코디하고 토트백으로 마무리한 댄디 룩,"#아가일,#모노톤,#데이트,#남친룩,#가을,#댄디,#엘에이알,#니티드,#후러브스아트,#까르벵 워치,#쌤소나이트 레드,#카디건,#슈트 팬츠/슬랙스,#쿼츠 아날로그,#토트백",https://image.msscdn.net/images/codimap/detail/6418/detail_6418_1_500.jpg?202307132307
38,댄디,레더 스타일링,21.09.28,"8,154",6,깔끔한 디테일의 니트에 슬랙스를 코디하고 레더 재킷으로 마무리한 댄디 룩,"#레더,#단정한,#남친룩,#미니멀,#데이트,#와이드핏,#핀턱,#가을,#댄디,#내셔널 퍼블리시티,#리트,#비에스큐티바이클래시,#라퍼지스토어,#마하그리드,#일꼬르소,#클러치 백,#슈트 팬츠/슬랙스,#안경 소품,#부츠,#레더/라이더스 재킷,#목걸이/펜던트,#니트/스웨터",https://image.msscdn.net/images/codimap/detail/7224/detail_7224_1_500.jpg?202307132307
39,아메리칸 캐주얼,센스 있는 아메카지,22.10.26,"7,004",6,코듀로이 소재가 돋보이는 코튼 팬츠와 니트를 코디하고 피시테일 파카로 마무리한 아메리칸 캐주얼 룩,"#아메카지,#뉴트럴톤,#스트라이프,#코듀로이,#핀턱,#편안한,#가을,#아메리칸 캐주얼,#바스토,#코드그라피,#비전스트릿웨어,#말렌,#루킹포유,#더블유브이프로젝트,#캔버스/단화,#사파리/헌팅 재킷,#니트/스웨터,#메신저/크로스 백,#비니,#코튼 팬츠",https://image.msscdn.net/images/codimap/detail/19410/detail_19410_1_500.jpg?202307132307
40,캐주얼,귀여운 프레피 룩,21.06.04,"12,148",6,귀여운 자수 로고가 돋보이는 베스트에 숏 팬츠를 매치하고 크로스 백으로 포인트를 더한 캐주얼 룩,"#체크,#프레피룩,#레이어드룩,#피크닉,#여름,#캐주얼,#컨버스,#브래디백,#리,#후아유,#비욘드클로젯,#캔버스/단화,#메신저/크로스 백,#잡지/무크지,#숏 팬츠,#피케/카라 티셔츠,#베스트",https://image.msscdn.net/images/codimap/detail/3467/detail_3467_1_500.jpg?202307132307
41,캐주얼,남친 룩 추천,21.06.11,"10,877",6,로고 프린팅이 돋보이는 티셔츠에 스트라이프 셔츠를 더하고 데님 팬츠로 마무리한 캐주얼 룩,"#남친룩,#스트라이프,#로고플레이,#모노톤,#꾸안꾸,#여름,#캐주얼,#리,#닥터마틴,#와릿이즌,#엑스톤즈,#셔츠/블라우스,#반소매 티셔츠,#샌들,#숄더백,#데님 팬츠",https://image.msscdn.net/images/codimap/detail/3666/detail_3666_1_500.jpg?202307132307
42,아메리칸 캐주얼,아메카지 무드,22.06.17,"4,690",6,캐주얼 무드의 반소매 셔츠와 와이드 핏 팬츠를 매치하고 스니커즈로 완성한 아메리칸 캐주얼 룩,"#뉴트럴톤,#핀턱,#와이드핏,#아메카지,#린넨,#꾸안꾸,#여름,#아메리칸 캐주얼,#베르투치,#오니츠카타이거,#에메모가든,#프리즘웍스,#쿼츠 아날로그,#패션스니커즈화,#메신저/크로스 백,#셔츠/블라우스",https://image.msscdn.net/images/codimap/detail/17104/detail_17104_1_500.jpg?202307132307
43,로맨틱,레트로 스타일링,21.05.17,"2,298",6,빈티지 무드의 블라우스와 데님 팬츠를 코디한 로맨틱 룩,"#봄,#로맨틱,#디모멘트,#게스,#앨리스마샤,#덱케,#리올그,#귀걸이,#데님 팬츠,#숄더백,#힐/펌프스,#헤어 액세서리,#셔츠/블라우스",https://image.msscdn.net/images/codimap/detail/3187/detail_3187_1_500.jpg?202307132307
44,포멀,깔끔한 연출,21.11.10,"3,575",6,간결한 실루엣의 카디건과 슬랙스를 매치하고 더블 코트로 완성한 포멀 룩,"#와이드핏,#단정한,#출근룩,#미니멀,#모노톤,#가을,#포멀,#드로우핏,#인사일런스,#로헤이드,#비비엔디,#슈트 팬츠/슬랙스,#긴소매 티셔츠,#겨울 더블 코트,#안경,#구두",https://image.msscdn.net/images/codimap/detail/8856/detail_8856_1_500.jpg?202307132307
45,포멀,클래식한 실루엣,21.01.15,"4,239",6,체크 패턴이 돋보이는 코트와 카디건을 레이어드하고 부츠로 멋을 더한 세미 포멀 룩,"#겨울,#포멀,#드로우핏,#발렌티노 루디,#에노우,#블랭크룸,#랩12,#벨룻,#겨울 더블 코트,#디지털,#페도라,#쿼츠 아날로그,#반려동물용품,#미니스커트,#부츠",https://image.msscdn.net/images/codimap/detail/1450/detail_1450_1_500.jpg?202307132307
46,포멀,완벽한 스타일링,21.09.15,"3,987",6,간결한 실루엣의 셔츠와 니트를 레이어드하고 슬랙스로 완성한 포멀 룩,"#레이어드룩,#톤온톤,#출근룩,#단정한,#미니멀,#레더,#가을,#포멀,#드로우핏,#씨오큐,#로스트가든,#에가든,#쿠어,#효지노리코,#필루미네이트,#반소매 티셔츠,#셔츠/블라우스,#슈트/블레이저 재킷,#구두,#시계 용품,#토트백,#슈트 팬츠/슬랙스",https://image.msscdn.net/images/codimap/detail/6755/detail_6755_1_500.jpg?202307132307
47,캐주얼,멋 내는 방법,21.07.02,"5,900",5,그래픽이 돋보이는 반팔 티셔츠와 와이드 핏 데님 팬츠를 매치하고 스니커즈로 마무리한 캐주얼 룩,"#톤온톤,#그래픽,#캠퍼스,#남친룩,#와이드핏,#여름,#캐주얼,#아식스,#토피,#원헌드레드퍼센트,#밀리어네어햇,#패션스니커즈화,#데님 팬츠,#반소매 티셔츠,#헌팅캡/베레모",https://image.msscdn.net/images/codimap/detail/4031/detail_4031_1_500.jpg?202307132307
48,걸리시,귀여운 매치,21.05.17,"1,919",5,오버 핏 셔츠와 플리츠스커트를 매치하고 그래픽 디테일이 매력적인 크로스 백으로 마무리한 걸리시 룩,"#봄,#걸리시,#유리메라,#큐리티,#플리즈프로젝트,#에잇세컨즈,#기타 스니커즈,#미니스커트,#메신저/크로스 백,#헤어 액세서리",https://image.msscdn.net/images/codimap/detail/3189/detail_3189_1_500.jpg?202307132307
49,스트릿,스트릿 무드,21.09.06,"4,287",5,플리스 재킷과 슬리브리스를 연출하고 스니커즈로 포인트를 준 스트릿 룩,"#컬러블록,#페스티벌,#유니크,#화사한,#가을,#스트릿,#스컬프터,#논논,#디스이즈네버댓,#하이스쿨디스코,#5252 바이 오아이오아이,#트레이닝/조거 팬츠,#안경 소품,#디퓨저/캔들,#목걸이/펜던트,#비니,#플리스/뽀글이",https://image.msscdn.net/images/codimap/detail/6348/detail_6348_1_500.jpg?202307132307
50,캐주얼,캐주얼 룩의 정석,21.03.12,"10,978",5,스트라이프 패턴이 돋보이는 카라 티셔츠와 치노 팬츠를 매치하고 오렌지 컬러의 캠프캡으로 포인트 준 캐주얼 룩,"#봄,#캐주얼,#유니폼브릿지,#커버낫,#캡/야구 모자,#에코백,#코튼 팬츠,#캔버스/단화,#맨투맨/스웨트셔츠",https://image.msscdn.net/images/codimap/detail/2237/detail_2237_1_500.jpg?202307132307
51,스트릿,스트라이프 활용법,21.02.19,"2,802",5,데미지 디테일이 돋보이는 스트라이프 니트에 카고 팬츠를 매치하고 하이 탑 스니커즈로 마무리한 스트릿 룩,"#봄,#스트릿,#로파이,#베이어다이나믹,#플레어업,#어나더유스,#앤더슨벨,#레더/라이더스 재킷,#기타 시계,#캡/야구 모자,#헤드폰,#트레이닝/조거 팬츠,#목걸이/펜던트",https://image.msscdn.net/images/codimap/detail/1937/detail_1937_1_500.jpg?202307132307
52,걸리시,누구나 반해,21.12.24,"4,545",5,체크 패턴이 돋보이는 미니스커트와 스웨트셔츠를 코디하고 숄더백으로 완성한 걸리시 룩,"#그래픽,#체크,#레이어드룩,#플리스,#키높이,#글로시,#귀여운,#레더,#여친룩,#짧치,#겨울,#걸리시,#아파트먼트,#타게토,#어피스오브케이크,#룩캐스트,#닥터마틴,#이로우리,#케이크,#헌팅캡/베레모,#맨투맨/스웨트셔츠,#부츠,#기타 스니커즈,#플리스/뽀글이,#숄더백",https://image.msscdn.net/images/codimap/detail/10551/detail_10551_1_500.jpg?202307132307
